Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Land_app,Land_app,distLand,Distance to application site,20,km,,,,,,,,
Land_app,Land_app,erLand,Empty return from land application (0=no; 1=yes),1,0/1,,,,,,,,
Land_app,Land_app,land_payload,Actual payload of truck used to haul soil amendment,7.3,Mg,,,,,,,,
Land_app,Land_app,ad_PeatSubFac,Volumetric peat replacement factor,1,None,,,,,,,,
Land_app,Land_app,ad_densPeat,Density of peat,200,kg/m3,,,,,,,,
Land_app,Land_app,perN2Oevap,Percent of applied N evaporated as N2O,1.5,%,,,,,,,,
Land_app,Land_app,perNH3evap,Percent of Ammonia that evaporates,15,%,,,,,,,,
Land_app,Land_app,perNasNH3fc,Percent N that is Ammonia,50,%,,,,,,,,
Curing_Bio,Curing_Bio,ad_pCasCH4,Proportion of emitted C emitted as CH4,0.017,None,,,,,,,,
Curing_Bio,Curing_Bio,ad_pNasNH3,Proportion of emitted N emitted as NH3,0.04,None,,,,,,,,
Curing_Bio,Curing_Bio,ad_pNasN2O,Proportion of emitted N emitted as N2O,0.004,None,,,,,,,,
Curing_Bio,Curing_Bio,dmRed_Dig,VS reduction of digestate during curing,0.3,None,,,,,,,,
Curing_Bio,Curing_Bio,VSlossPerCloss,Mass of VS loss per mole of C loss,12,g/mol C,,,,,,,,
Windrow_turn,Windrow_turn,Tcur,Retention time in windrows,21,days,,,,,,,,
Windrow_turn,Windrow_turn,Mwta,Turning energy required per ton of compost,0.24,kWh/Mg,,,,,,,,
Windrow_turn,Windrow_turn,Mwfa,The fuel consumption of a windrow turner,0.13,L/kWh,,,,,,,,
Windrow_turn,Windrow_turn,turnFreq,Turning frequency,0.43,1/days,,,,,,,,
AD_operation,AD_operation,ad_lifetime,Facility economic lifetime,20,years,,,,,,,,
AD_operation,AD_operation,ophrsperday,Daily operating hours,8,hours,,,,,,,,
AD_operation,AD_operation,opdaysperyear,Annual operating days,260,days,,,,,,,,
AD_operation,AD_operation,retentionTime,Average retention time in reactor,21,days,,,,,,,,
AD_operation,AD_operation,recircMax,Maximum proportion of reactor water that can come from recirculation,0.8,fraction,,,,,,,,
AD_operation,AD_operation,isDw,Dewater digestate? (0=no; 1=yes),1,0/1,,,,,,,,
AD_operation,AD_operation,isCured,Cure digestate solids stream? (0=no; 1=yes),1,0/1,,,,,,,,
AD_operation,AD_operation,choice_BU,Digestate Beneficial Use (1) or No Beneficial Use (0),1,0/1,,,,,,,,
AD_operation,AD_operation,peatOff,Digestate Beneficial Use offsets Peat (1 - Yes; 0 - No),1,0/1,,,,,,,,
AD_operation,AD_operation,fertOff,Digestate Beneficial Use offsets Fertilizer (1 - Yes; 0 - No),1,0/1,,,,,,,,
Biogas_gen,Biogas_gen,ad_ch4prop,Proportion of methane in collected biogas,0.6,None,,,,,,,,
Biogas_gen,Biogas_gen,ad_ch4stoich,Stoichiometric proportion of methane in produced biogas due to feedstock,0.6,None,,,,,,,,
Biogas_gen,Biogas_gen,ad_ch4EngCont,Methane energy content,37.7,MJ/m3,,,,,,,,
Biogas_gen,Biogas_gen,perLeak,Methane leakage,3,%,,,,,,,,
Biogas_gen,Biogas_gen,perSolDec,Percent of biogas mass from solid decomposition,89,%,,,,,,,,
Biogas_gen,Biogas_gen,ad_HeatRate,Heat rate for electrical energy generation,9.86,MJ/kWh,,,,,,,,
Biogas_gen,Biogas_gen,ad_collEff,Collection efficiency of biogas as proportion (0 to 1),0.97,None,,,,,,,,
Biogas_gen,Biogas_gen,ad_downTime,Proportion of gas that is flared w/out electricity generation (0 to 1),0.03,None,,,,,,,,
emission_Flare,emission_Flare,CH4_destruction,Methane destruction efficiency (0-1),0.999,None,,,,,,,,
emission_Flare,emission_Flare,CO,Carbon monoxide (CO),2.4,g/GJ CH4 input,,,,,,,,
emission_Flare,emission_Flare,NO2,Nitrogen oxides (as NO2),19.7,g/GJ CH4 input,,,,,,,,
emission_Flare,emission_Flare,SO2,Sulfur dioxide (SO2),23.3,g/GJ CH4 input,,,,,,,,
emission_Flare,emission_Flare,NMVOC,NMVOCs,0,g/GJ CH4 input,,,,,,,,
emission_Flare,emission_Flare,PM,PM2.5,36.9,g/GJ CH4 input,,,,,,,,
emission_Engine,emission_Engine,CH4_destruction,Methane destruction efficiency (0-1),0.99,None,,,,,,,,
emission_Engine,emission_Engine,CO,Carbon monoxide (CO),273,g/GJ CH4 input,,,,,,,,
emission_Engine,emission_Engine,NO2,Nitrogen oxides (as NO2),540,g/GJ CH4 input,,,,,,,,
emission_Engine,emission_Engine,SO2,Sulfur dioxide (SO2),19.2,g/GJ CH4 input,,,,,,,,
emission_Engine,emission_Engine,NMVOC,NMVOCs,105,g/GJ CH4 input,,,,,,,,
emission_Engine,emission_Engine,PM,PM2.5,0.206,g/GJ CH4 input,,,,,,,,
Digestate_treatment,Digestate_treatment,ad_distPOTW,Haul distance to treatment facility,25,km,,,,,,,,
Digestate_treatment,Digestate_treatment,ad_erPOTW,"Empty return from treatment facility (1-Yes, 0-No)",1,0/1,,,,,,,,
Digestate_treatment,Digestate_treatment,payload_POTW,Actual payload of truck to treatment facility,23,Mg,,,,,,,,
Digestate_treatment,Digestate_treatment,er_wwtpLF,"Empty return from LF to WWTP (1-Yes, 0-No)",1,0/1,,,,,,,,
Digestate_treatment,Digestate_treatment,payload_LFPOTW,Actual payload of truck to LF from WWTP,23,Mg,,,,,,,,
Digestate_treatment,Digestate_treatment,lchBODcont,BOD,2.3,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,lchCODcont,COD,61.61,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,lchTSScont,Total suspended solids,1.45,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_totN,Total N,1.35,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Fe,Iron,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Cu,Copper,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Cd,Cadmium,3.00E-05,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_As,Arsenic,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Hg,Mercury,2.60E-05,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_P,Phosphate,0.06,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Se,Selenium,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Cr,Chromium,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Pb,Lead,0.00261,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Zn,Zinc,0.0108,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Ba,Barium,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,conc_Ag,Silver,0,kg/m3,,,,,,,,
Digestate_treatment,Digestate_treatment,wwtp_lf_dist,Distance from WWTP to landfill,25,km,,,,,,,,
Post_Screen,Post_Screen,ad_engScreen,Post-screen specific electricity consumption,0.000882,kWh/kg,,,,,,,,
Post_Screen,Post_Screen,ad_scrEff_WC,Proportion of wood chips remaining after post-screening,0.75,fraction,,,,,,,,
Material_Properties,Material_Properties,ad_mcReactor,Reactor moisture content,0.92,mass water/total mass,,,,,,,,
Material_Properties,Material_Properties,ad_mcFC,Finished compost moisture content,0.45,mass water/total mass,,,,,,,,
Material_Properties,Material_Properties,ad_densFC,Density of final compost,700,kg/m3,,,,,,,,
Material_Properties,Material_Properties,wcMC,Wood chip moisture content,0.1586,%,,,,,,,,
Material_Properties,Material_Properties,wcVSC,Wood chip VS content,0.906,%TS,,,,,,,,
Dewater,Dewater,elec_dw,Electricity Use,75,kWh/Mg TS throughput,,,,,,,,
